#SEQID	AVERAGE_POS_CONS	MAX_POS_CONS	MIN_POS_CONS
A0A075B6H9_ENSG00000211637_ENSEMBL_ORTHOLOGUES_ALN_IDR_22_32_CONS.out.txt	0.63	0.88	0.43
A0A075B6I1_ENSG00000211639_ENSEMBL_ORTHOLOGUES_ALN_IDR_23_33_CONS.out.txt	0.63	0.88	0.43
A0A075B6J1_ENSG00000211654_ENSEMBL_ORTHOLOGUES_ALN_IDR_22_33_CONS.out.txt	0.81	0.99	0.65
A0A075B6K6_ENSG00000211672_ENSEMBL_ORTHOLOGUES_ALN_IDR_21_31_CONS.out.txt	0.65	0.90	0.22
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_637_678_CONS.out.txt	0.67	1.00	0.45
A0A0A0MRZ9_ENSG00000211643_ENSEMBL_ORTHOLOGUES_ALN_IDR_21_33_CONS.out.txt	0.68	0.90	0.53
A0A0A6YYL3_ENSG00000233917_ENSEMBL_ORTHOLOGUES_ALN_IDR_292_306_CONS.out.txt	0.89	0.95	0.80
A0A0A6YYL3_ENSG00000233917_ENSEMBL_ORTHOLOGUES_ALN_IDR_488_499_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_121_141_CONS.out.txt	0.55	0.81	0.34
A0A0J9YY54_ENSG00000282419_ENSEMBL_ORTHOLOGUES_ALN_IDR_95_147_CONS.out.txt	0.52	0.94	0.30
A0A1B0GTI1_ENSG00000283247_ENSEMBL_ORTHOLOGUES_ALN_IDR_152_176_CONS.out.txt	0.82	1.00	0.42
A0A1B0GTL2_ENSG00000196421_ENSEMBL_ORTHOLOGUES_ALN_IDR_97_109_CONS.out.txt	0.88	1.00	0.63
A0A1B0GTL2_ENSG00000196421_ENSEMBL_ORTHOLOGUES_ALN_IDR_120_138_CONS.out.txt	0.93	1.00	0.58
A0A1B0GTR3_ENSG00000224440_ENSEMBL_ORTHOLOGUES_ALN_IDR_85_95_CONS.out.txt	0.86	1.00	0.50
A0A1B0GTU2_ENSG00000259417_ENSEMBL_ORTHOLOGUES_ALN_IDR_17_34_CONS.out.txt	0.88	1.00	0.64
A0A1B0GTW7_ENSG00000283654_ENSEMBL_ORTHOLOGUES_ALN_IDR_23_35_CONS.out.txt	0.81	1.00	0.61
A0A1B0GTZ2_ENSG00000196553_ENSEMBL_ORTHOLOGUES_ALN_IDR_26_70_CONS.out.txt	0.90	1.00	0.67
A0A1B0GTZ2_ENSG00000196553_ENSEMBL_ORTHOLOGUES_ALN_IDR_95_114_CONS.out.txt	0.64	1.00	0.39
